timestamp,source_ip,dest_ip,dest_port,protocol,attack_type,severity,bytes_transferred,session_duration_sec,failed_logins,source_country,is_attack,blocked
2026-01-01 00:00:00,103.121.210.214,10.0.10.203,3389,HTTP,Phishing,Medium,18818,0.09,1,Russia,1,1
2026-01-01 00:01:00,9.165.175.248,10.0.1.88,22,ICMP,DDoS,High,485,4.12,0,USA,1,1
2026-01-01 00:02:00,89.48.218.58,10.0.9.220,443,TCP,Normal,Low,4365,2.17,1,China,0,0
2026-01-01 00:03:00,98.59.18.123,10.0.1.187,21,TCP,Malware,Critical,146,9.17,0,India,1,1
2026-01-01 00:05:00,82.99.1.205,10.0.12.221,53,TCP,Brute Force,High,824,0.97,0,Netherlands,1,1
2026-01-01 00:05:00,20.16.118.70,10.0.3.221,443,UDP,DDoS,High,15107,0.3,0,Brazil,1,1
2026-01-01 00:05:00,72.11.161.32,10.0.15.247,25,TCP,Normal,Low,6063,1.45,0,Netherlands,0,0
2026-01-01 00:07:00,114.236.74.156,10.0.3.217,3306,TCP,Brute Force,High,20,3.78,0,India,1,1
2026-01-01 00:08:00,7.90.135.141,10.0.7.118,21,HTTP,Normal,Low,641,2.23,0,India,0,0
2026-01-01 00:09:00,153.1.246.85,10.0.4.4,8080,HTTPS,Normal,Low,226,5.37,0,Russia,0,0
2026-01-01 00:09:00,185.15.183.235,10.0.14.121,3306,TCP,Normal,Low,129,1.85,0,India,0,0
2026-01-01 00:11:00,205.157.160.76,10.0.19.154,53,UDP,Normal,Low,1558,5.26,0,India,0,0
2026-01-01 00:11:00,93.98.221.185,10.0.8.37,3306,ICMP,Normal,Low,3733,4.64,0,India,0,0
2026-01-01 00:15:00,104.226.223.63,10.0.9.98,3306,HTTP,Normal,Low,22155,4.31,0,Nigeria,0,0
2026-01-01 00:18:00,109.107.202.139,10.0.17.94,3389,HTTPS,Normal,Low,19998,8.94,0,USA,0,0
2026-01-01 00:19:00,129.235.135.215,10.0.10.243,25,TCP,Normal,Low,1280,5.88,0,China,0,0
2026-01-01 00:19:00,220.53.86.228,10.0.0.129,80,TCP,SQL Injection,Critical,249,3.41,0,Nigeria,1,1
2026-01-01 00:20:00,71.29.134.66,10.0.0.36,3389,HTTP,SQL Injection,Critical,345,6.3,0,UK,1,1
2026-01-01 00:20:00,130.144.107.89,10.0.5.165,3389,HTTP,Brute Force,High,465,10.01,2,India,1,0
2026-01-01 00:20:00,101.86.96.192,10.0.19.5,18652,UDP,Phishing,Medium,5395,3.05,0,Vietnam,1,1
2026-01-01 00:23:00,97.117.37.140,10.0.14.228,25,HTTP,DDoS,High,1211,3.49,0,Netherlands,1,1
2026-01-01 00:24:00,135.162.182.219,10.0.13.120,8080,TCP,Normal,Low,588,2.52,0,India,0,0
2026-01-01 00:25:00,180.197.244.87,10.0.0.177,8080,TCP,Malware,Critical,7,1.12,0,Russia,1,1
2026-01-01 00:28:00,172.195.223.238,10.0.2.142,443,TCP,Brute Force,High,2685,7.78,0,India,1,1
2026-01-01 00:31:00,2.126.104.17,10.0.16.8,3306,ICMP,DDoS,High,11163,0.39,0,China,1,1
2026-01-01 00:33:00,125.97.16.106,10.0.10.245,80,HTTPS,Normal,Low,928,8.67,0,Germany,0,0
2026-01-01 00:34:00,26.98.49.152,10.0.12.60,53,ICMP,Port Scan,Medium,172,3.13,0,USA,1,1
2026-01-01 00:35:00,98.130.36.170,10.0.7.218,53,TCP,DDoS,High,948,0.3,0,India,1,1
2026-01-01 00:36:00,216.123.206.37,10.0.7.251,4996,HTTPS,Normal,Low,2956,0.52,0,Germany,0,0
2026-01-01 00:38:00,142.102.26.136,10.0.14.15,23385,HTTPS,SQL Injection,Critical,24531,2.6,0,Germany,1,0
2026-01-01 00:41:00,119.64.58.241,10.0.17.36,443,UDP,Normal,Low,4821,1.08,1,China,0,0
2026-01-01 00:43:00,109.50.244.146,10.0.9.35,443,TCP,Brute Force,High,2054,2.13,0,China,1,1
2026-01-01 00:44:00,89.59.13.241,10.0.8.90,80,UDP,Port Scan,Medium,371,0.59,0,India,1,1
2026-01-01 00:47:00,37.11.112.182,10.0.12.23,443,ICMP,Normal,Low,13376,0.49,0,Netherlands,0,0
2026-01-01 00:48:00,218.21.110.106,10.0.2.227,29115,TCP,Normal,Low,8351,18.58,0,Germany,0,0
2026-01-01 00:51:00,61.153.36.157,10.0.0.11,3306,UDP,Normal,Low,3524,0.34,0,Vietnam,0,0
2026-01-01 00:57:00,148.95.198.51,10.0.8.161,53,HTTP,Normal,Low,127,12.42,0,UK,0,0
2026-01-01 00:58:00,190.39.212.207,10.0.12.82,3389,ICMP,Normal,Low,2513,4.2,0,China,0,0
2026-01-01 00:58:00,143.170.28.35,10.0.12.160,443,HTTP,DDoS,High,2704,9.23,0,India,1,1
2026-01-01 01:00:00,155.173.245.106,10.0.9.51,8080,HTTPS,Normal,Low,477,6.35,0,USA,0,0
2026-01-01 01:00:00,207.58.117.159,10.0.8.180,22,TCP,Normal,Low,239,5.36,0,USA,0,0
2026-01-01 01:02:00,109.64.85.243,10.0.16.71,21,TCP,Normal,Low,549,1.94,0,Russia,0,0
2026-01-01 01:05:00,99.6.251.143,10.0.15.249,22,HTTPS,Normal,Low,611,10.24,0,Netherlands,0,0
